group_id,ability_answers,criterion_answers
6,"{""1""=>61.607142857142854, ""2""=>58.92857142857142, ""3""=>59.82142857142858, ""4""=>63.39285714285714, ""5""=>71.42857142857142}","{""5""=>64.28571428571428, ""6""=>64.28571428571429, ""7""=>50.0, ""8""=>50.0, ""13""=>57.142857142857146, ""14""=>57.14285714285714, ""15""=>50.0, ""16""=>42.85714285714286, ""21""=>50.0, ""22""=>50.0, ""23""=>50.0, ""24""=>64.28571428571429, ""29""=>42.85714285714286, ""30""=>64.28571428571429, ""31""=>57.142857142857146, ""32""=>50.0, ""37""=>50.0, ""38""=>57.142857142857146, ""39""=>57.142857142857146, ""40""=>64.28571428571429}"
4,"{""1""=>58.92857142857142, ""2""=>69.64285714285715, ""3""=>73.21428571428571, ""4""=>69.64285714285714, ""5""=>67.85714285714286}","{""5""=>71.42857142857143, ""6""=>42.857142857142854, ""7""=>71.42857142857143, ""8""=>42.857142857142854, ""13""=>71.42857142857143, ""14""=>57.142857142857146, ""15""=>85.71428571428571, ""16""=>57.142857142857146, ""21""=>85.71428571428571, ""22""=>57.142857142857146, ""23""=>85.71428571428571, ""24""=>57.142857142857146, ""29""=>85.71428571428571, ""30""=>57.142857142857146, ""31""=>85.71428571428571, ""32""=>57.142857142857146, ""37""=>85.71428571428571, ""38""=>57.142857142857146, ""39""=>85.71428571428571, ""40""=>57.142857142857146}"
36,"{""1""=>69.04761904761902, ""2""=>69.04761904761902, ""3""=>58.92857142857141, ""4""=>63.095238095238074, ""5""=>71.42857142857142}","{""5""=>61.904761904761905, ""6""=>76.19047619047619, ""7""=>66.66666666666666, ""8""=>90.47619047619048, ""13""=>71.42857142857143, ""14""=>47.61904761904762, ""15""=>85.71428571428572, ""16""=>71.42857142857142, ""21""=>33.33333333333333, ""22""=>61.9047619047619, ""23""=>90.47619047619048, ""24""=>47.61904761904762, ""29""=>42.85714285714286, ""30""=>38.095238095238095, ""31""=>80.95238095238095, ""32""=>57.14285714285714, ""37""=>76.19047619047619, ""38""=>47.61904761904762, ""39""=>90.47619047619048, ""40""=>76.19047619047619}"
15,"{""1""=>57.72619047619046, ""2""=>68.35714285714285, ""3""=>71.07142857142856, ""4""=>66.9722222222222, ""5""=>62.123511904761884}","{""5""=>38.095238095238095, ""6""=>47.61904761904761, ""7""=>61.90476190476191, ""8""=>66.66666666666666, ""13""=>57.14285714285714, ""14""=>47.61904761904761, ""15""=>52.38095238095238, ""16""=>61.904761904761905, ""21""=>61.904761904761905, ""22""=>66.66666666666666, ""23""=>66.66666666666667, ""24""=>66.66666666666666, ""29""=>71.42857142857142, ""30""=>61.9047619047619, ""31""=>57.14285714285714, ""32""=>52.38095238095238, ""37""=>52.38095238095238, ""38""=>57.14285714285714, ""39""=>61.9047619047619, ""40""=>80.95238095238096}"
12,"{""1""=>64.2142857142857, ""2""=>76.59523809523807, ""3""=>76.42460317460315, ""4""=>66.78174603174601, ""5""=>60.11904761904759}","{""5""=>33.333333333333336, ""6""=>52.38095238095238, ""7""=>66.66666666666667, ""8""=>71.42857142857143, ""13""=>76.19047619047619, ""14""=>76.19047619047619, ""15""=>61.904761904761905, ""16""=>61.9047619047619, ""21""=>66.66666666666667, ""22""=>61.904761904761905, ""23""=>80.95238095238095, ""24""=>71.42857142857143, ""29""=>71.42857142857143, ""30""=>66.66666666666667, ""31""=>71.42857142857142, ""32""=>57.142857142857146, ""37""=>57.142857142857146, ""38""=>52.38095238095238, ""39""=>66.66666666666666, ""40""=>76.1904761904762}"
26,"{""1""=>51.78571428571429, ""2""=>64.28571428571429, ""3""=>64.28571428571429, ""4""=>69.64285714285715, ""5""=>87.5}","{""5""=>28.571428571428573, ""6""=>42.857142857142854, ""7""=>71.42857142857143, ""8""=>71.42857142857143, ""13""=>57.142857142857146, ""14""=>71.42857142857143, ""15""=>57.142857142857146, ""16""=>71.42857142857143, ""21""=>57.142857142857146, ""22""=>71.42857142857143, ""23""=>57.142857142857146, ""24""=>71.42857142857143, ""29""=>71.42857142857143, ""30""=>57.142857142857146, ""31""=>71.42857142857143, ""32""=>57.142857142857146, ""37""=>71.42857142857143, ""38""=>71.42857142857143, ""39""=>85.71428571428571, ""40""=>100.0}"
24,"{""1""=>76.78571428571429, ""2""=>84.82142857142857, ""3""=>78.57142857142857, ""4""=>66.96428571428572, ""5""=>49.107142857142875}","{""5""=>78.57142857142857, ""6""=>42.85714285714286, ""7""=>92.85714285714286, ""8""=>85.71428571428572, ""13""=>78.57142857142857, ""14""=>85.71428571428572, ""15""=>64.28571428571428, ""16""=>100.0, ""21""=>92.85714285714286, ""22""=>50.0, ""23""=>85.71428571428572, ""24""=>92.85714285714286, ""29""=>35.714285714285715, ""30""=>78.57142857142857, ""31""=>35.714285714285715, ""32""=>78.57142857142857, ""37""=>35.714285714285715, ""38""=>78.57142857142857, ""39""=>42.85714285714286, ""40""=>85.71428571428572}"
34,"{""1""=>71.9387755102041, ""2""=>67.60204081632655, ""3""=>66.0714285714286, ""4""=>62.50000000000003, ""5""=>72.1938775510204}","{""5""=>65.30612244897958, ""6""=>65.3061224489796, ""7""=>61.22448979591836, ""8""=>83.67346938775512, ""13""=>65.3061224489796, ""14""=>67.34693877551021, ""15""=>77.55102040816327, ""16""=>65.3061224489796, ""21""=>51.0204081632653, ""22""=>61.22448979591836, ""23""=>71.42857142857143, ""24""=>69.38775510204081, ""29""=>61.22448979591836, ""30""=>44.89795918367347, ""31""=>71.42857142857143, ""32""=>59.183673469387756, ""37""=>71.42857142857142, ""38""=>69.38775510204081, ""39""=>79.59183673469389, ""40""=>75.51020408163266}"
38,"{""1""=>72.5, ""2""=>67.85714285714286, ""3""=>60.714285714285715, ""4""=>66.42857142857143, ""5""=>71.42857142857144}","{""5""=>57.142857142857146, ""6""=>68.57142857142858, ""7""=>60.0, ""8""=>91.42857142857142, ""13""=>74.28571428571429, ""14""=>77.14285714285714, ""15""=>94.28571428571428, ""16""=>48.57142857142858, ""21""=>71.42857142857143, ""22""=>60.0, ""23""=>68.57142857142857, ""24""=>48.57142857142857, ""29""=>54.28571428571428, ""30""=>25.714285714285715, ""31""=>82.85714285714286, ""32""=>62.857142857142854, ""37""=>62.857142857142854, ""38""=>51.428571428571416, ""39""=>91.42857142857143, ""40""=>77.14285714285714}"
33,"{""1""=>71.54017857142857, ""2""=>70.31249999999993, ""3""=>63.50446428571429, ""4""=>62.61160714285713, ""5""=>73.66071428571422}","{""5""=>73.21428571428572, ""6""=>59.82142857142857, ""7""=>66.07142857142858, ""8""=>82.14285714285714, ""13""=>66.07142857142857, ""14""=>66.96428571428571, ""15""=>74.10714285714286, ""16""=>61.60714285714285, ""21""=>56.25000000000001, ""22""=>66.07142857142856, ""23""=>71.42857142857142, ""24""=>56.250000000000014, ""29""=>58.03571428571428, ""30""=>38.39285714285714, ""31""=>75.89285714285712, ""32""=>58.92857142857144, ""37""=>68.75, ""38""=>69.64285714285714, ""39""=>83.92857142857143, ""40""=>69.64285714285714}"
17,"{""1""=>73.21428571428572, ""2""=>71.42857142857143, ""3""=>73.21428571428572, ""4""=>67.85714285714286, ""5""=>71.42857142857144}","{""5""=>71.42857142857143, ""6""=>57.142857142857146, ""7""=>57.142857142857146, ""8""=>85.71428571428571, ""13""=>57.142857142857146, ""14""=>57.142857142857146, ""15""=>85.71428571428571, ""16""=>85.71428571428571, ""21""=>71.42857142857143, ""22""=>71.42857142857143, ""23""=>71.42857142857143, ""24""=>71.42857142857143, ""29""=>71.42857142857143, ""30""=>57.142857142857146, ""31""=>57.142857142857146, ""32""=>71.42857142857143, ""37""=>71.42857142857143, ""38""=>57.142857142857146, ""39""=>100.0, ""40""=>100.0}"
35,"{""1""=>72.76785714285715, ""2""=>69.19642857142857, ""3""=>63.8392857142857, ""4""=>60.26785714285713, ""5""=>71.42857142857144}","{""5""=>53.57142857142858, ""6""=>85.71428571428571, ""7""=>78.57142857142857, ""8""=>67.85714285714285, ""13""=>71.42857142857143, ""14""=>64.28571428571429, ""15""=>78.57142857142857, ""16""=>57.142857142857146, ""21""=>60.71428571428572, ""22""=>67.85714285714286, ""23""=>75.0, ""24""=>53.57142857142857, ""29""=>53.57142857142857, ""30""=>21.42857142857143, ""31""=>71.42857142857143, ""32""=>42.85714285714286, ""37""=>64.28571428571429, ""38""=>64.28571428571428, ""39""=>67.85714285714286, ""40""=>75.0}"
32,"{""1""=>67.76785714285708, ""2""=>66.96428571428568, ""3""=>60.44642857142857, ""4""=>63.48214285714281, ""5""=>68.74999999999996}","{""5""=>69.28571428571428, ""6""=>61.42857142857143, ""7""=>58.57142857142856, ""8""=>62.14285714285715, ""13""=>72.14285714285714, ""14""=>60.0, ""15""=>69.28571428571428, ""16""=>60.71428571428571, ""21""=>55.71428571428571, ""22""=>58.571428571428584, ""23""=>67.14285714285714, ""24""=>45.714285714285715, ""29""=>46.428571428571445, ""30""=>36.42857142857142, ""31""=>71.42857142857142, ""32""=>52.85714285714286, ""37""=>57.857142857142854, ""38""=>71.42857142857142, ""39""=>73.57142857142857, ""40""=>62.14285714285714}"
28,"{""1""=>71.78571428571429, ""2""=>67.85714285714285, ""3""=>66.78571428571428, ""4""=>68.92857142857143, ""5""=>73.92857142857146}","{""5""=>68.57142857142857, ""6""=>65.71428571428572, ""7""=>71.42857142857143, ""8""=>77.14285714285714, ""13""=>71.42857142857143, ""14""=>68.57142857142857, ""15""=>68.57142857142857, ""16""=>65.71428571428571, ""21""=>65.71428571428572, ""22""=>65.71428571428572, ""23""=>68.57142857142857, ""24""=>62.85714285714286, ""29""=>65.71428571428572, ""30""=>62.85714285714286, ""31""=>77.14285714285714, ""32""=>60.0, ""37""=>68.57142857142857, ""38""=>68.57142857142857, ""39""=>65.71428571428572, ""40""=>77.14285714285715}"
29,"{""1""=>71.7261904761905, ""2""=>70.23809523809527, ""3""=>70.5357142857143, ""4""=>67.26190476190479, ""5""=>66.36904761904762}","{""5""=>76.19047619047619, ""6""=>69.04761904761905, ""7""=>69.04761904761905, ""8""=>76.19047619047619, ""13""=>69.04761904761905, ""14""=>64.28571428571429, ""15""=>73.80952380952381, ""16""=>73.80952380952381, ""21""=>64.28571428571428, ""22""=>80.95238095238096, ""23""=>71.42857142857142, ""24""=>66.66666666666667, ""29""=>64.28571428571429, ""30""=>50.0, ""31""=>66.66666666666667, ""32""=>57.14285714285714, ""37""=>69.04761904761905, ""38""=>69.04761904761905, ""39""=>66.66666666666667, ""40""=>64.28571428571429}"
101,"{""1""=>46.628571428571426, ""2""=>53.77142857142857, ""3""=>59.12857142857143, ""4""=>57.142857142857146, ""5""=>60.71428571428573}","{""5""=>42.857142857142854, ""6""=>57.142857142857146, ""7""=>42.857142857142854, ""8""=>57.142857142857146, ""13""=>42.857142857142854, ""14""=>57.142857142857146, ""15""=>42.857142857142854, ""16""=>57.142857142857146, ""21""=>42.857142857142854, ""22""=>57.142857142857146, ""23""=>42.857142857142854, ""24""=>57.142857142857146, ""29""=>57.142857142857146, ""30""=>42.857142857142854, ""31""=>57.142857142857146, ""32""=>42.857142857142854, ""37""=>57.142857142857146, ""38""=>57.142857142857146, ""39""=>57.142857142857146, ""40""=>57.142857142857146}"
30,"{""1""=>72.93956043956044, ""2""=>70.467032967033, ""3""=>70.60439560439566, ""4""=>65.93406593406598, ""5""=>71.2912087912088}","{""5""=>69.23076923076924, ""6""=>72.52747252747253, ""7""=>64.83516483516485, ""8""=>75.8241758241758, ""13""=>73.62637362637362, ""14""=>73.62637362637362, ""15""=>78.02197802197801, ""16""=>67.03296703296704, ""21""=>65.93406593406593, ""22""=>74.72527472527472, ""23""=>79.12087912087912, ""24""=>70.32967032967032, ""29""=>65.93406593406594, ""30""=>50.549450549450555, ""31""=>67.03296703296704, ""32""=>54.94505494505495, ""37""=>64.83516483516485, ""38""=>71.42857142857143, ""39""=>75.82417582417581, ""40""=>65.93406593406594}"
103,"{""1""=>46.42857142857143, ""2""=>53.57142857142858, ""3""=>58.92857142857143, ""4""=>57.142857142857146, ""5""=>60.71428571428573}","{""5""=>42.857142857142854, ""6""=>57.142857142857146, ""7""=>42.857142857142854, ""8""=>57.142857142857146, ""13""=>42.857142857142854, ""14""=>57.142857142857146, ""15""=>42.857142857142854, ""16""=>57.142857142857146, ""21""=>42.857142857142854, ""22""=>57.142857142857146, ""23""=>42.857142857142854, ""24""=>57.142857142857146, ""29""=>57.142857142857146, ""30""=>42.857142857142854, ""31""=>57.142857142857146, ""32""=>42.857142857142854, ""37""=>57.142857142857146, ""38""=>57.142857142857146, ""39""=>57.142857142857146, ""40""=>57.142857142857146}"
40,"{""1""=>75.89285714285714, ""2""=>73.21428571428571, ""3""=>70.53571428571428, ""4""=>67.85714285714285, ""5""=>69.64285714285714}","{""5""=>78.57142857142857, ""6""=>78.57142857142857, ""7""=>78.57142857142857, ""8""=>78.57142857142857, ""13""=>71.42857142857143, ""14""=>71.42857142857143, ""15""=>71.42857142857143, ""16""=>71.42857142857143, ""21""=>85.71428571428571, ""22""=>71.42857142857143, ""23""=>78.57142857142857, ""24""=>64.28571428571429, ""29""=>71.42857142857143, ""30""=>42.85714285714286, ""31""=>71.42857142857143, ""32""=>64.28571428571429, ""37""=>71.42857142857143, ""38""=>71.42857142857143, ""39""=>71.42857142857143, ""40""=>64.28571428571429}"
39,"{""1""=>74.70238095238099, ""2""=>68.75000000000003, ""3""=>65.17857142857144, ""4""=>69.04761904761908, ""5""=>75.59523809523812}","{""5""=>76.19047619047619, ""6""=>80.95238095238096, ""7""=>78.57142857142858, ""8""=>73.80952380952381, ""13""=>66.66666666666667, ""14""=>59.52380952380953, ""15""=>80.95238095238096, ""16""=>59.52380952380952, ""21""=>66.66666666666667, ""22""=>71.42857142857143, ""23""=>85.71428571428572, ""24""=>52.38095238095238, ""29""=>50.0, ""30""=>38.095238095238095, ""31""=>69.04761904761904, ""32""=>83.33333333333334, ""37""=>66.66666666666667, ""38""=>73.80952380952381, ""39""=>78.57142857142856, ""40""=>85.71428571428572}"
117,"{""1""=>76.50725485754558, ""2""=>70.8425925925926, ""3""=>71.15948137241739, ""4""=>68.77862931642005, ""5""=>63.74300486873163}","{""5""=>71.42857142857143, ""6""=>76.19047619047618, ""7""=>69.04761904761905, ""8""=>90.47619047619048, ""13""=>73.80952380952381, ""14""=>61.90476190476191, ""15""=>76.19047619047619, ""16""=>64.28571428571429, ""21""=>71.42857142857143, ""22""=>73.8095238095238, ""23""=>69.04761904761905, ""24""=>69.04761904761905, ""29""=>73.8095238095238, ""30""=>57.142857142857146, ""31""=>66.66666666666667, ""32""=>64.28571428571429, ""37""=>57.14285714285714, ""38""=>57.14285714285714, ""39""=>66.66666666666667, ""40""=>69.04761904761905}"
81,"{""1""=>72.27857142857144, ""2""=>71.02857142857144, ""3""=>71.65357142857144, ""4""=>72.05357142857143, ""5""=>71.42857142857143}","{""5""=>71.42857142857143, ""6""=>71.42857142857143, ""7""=>71.42857142857143, ""8""=>71.42857142857143, ""13""=>71.42857142857143, ""14""=>71.42857142857143, ""15""=>71.42857142857143, ""16""=>71.42857142857143, ""21""=>71.42857142857143, ""22""=>71.42857142857143, ""23""=>71.42857142857143, ""24""=>71.42857142857143, ""29""=>71.42857142857143, ""30""=>71.42857142857143, ""31""=>71.42857142857143, ""32""=>71.42857142857143, ""37""=>71.42857142857143, ""38""=>71.42857142857143, ""39""=>71.42857142857143, ""40""=>71.42857142857143}"
114,"{""1""=>73.53601945535087, ""2""=>71.14527193306263, ""3""=>65.22141507824651, ""4""=>64.92368102397175, ""5""=>71.4524658965066}","{""5""=>66.66666666666667, ""6""=>61.904761904761905, ""7""=>69.04761904761904, ""8""=>88.0952380952381, ""13""=>78.57142857142858, ""14""=>66.66666666666667, ""15""=>88.0952380952381, ""16""=>57.142857142857146, ""21""=>59.523809523809526, ""22""=>66.66666666666666, ""23""=>71.42857142857142, ""24""=>59.523809523809526, ""29""=>57.142857142857146, ""30""=>45.238095238095234, ""31""=>59.523809523809526, ""32""=>69.04761904761905, ""37""=>66.66666666666667, ""38""=>61.904761904761905, ""39""=>66.66666666666666, ""40""=>80.95238095238096}"
105,"{""1""=>87.5, ""2""=>67.85714285714286, ""3""=>57.14285714285715, ""4""=>69.64285714285714, ""5""=>75.0}","{""5""=>85.71428571428571, ""6""=>85.71428571428571, ""7""=>85.71428571428571, ""8""=>42.857142857142854, ""13""=>42.857142857142854, ""14""=>57.142857142857146, ""15""=>57.142857142857146, ""16""=>71.42857142857143, ""21""=>57.142857142857146, ""22""=>71.42857142857143, ""23""=>57.142857142857146, ""24""=>71.42857142857143, ""29""=>57.142857142857146, ""30""=>85.71428571428571, ""31""=>85.71428571428571, ""32""=>85.71428571428571, ""37""=>85.71428571428571, ""38""=>85.71428571428571, ""39""=>85.71428571428571, ""40""=>71.42857142857143}"
125,"{""1""=>71.74107142857143, ""2""=>71.42857142857143, ""3""=>73.21428571428572, ""4""=>73.21428571428572, ""5""=>62.50000000000001}","{""5""=>71.42857142857143, ""6""=>85.71428571428571, ""7""=>71.42857142857143, ""8""=>85.71428571428571, ""13""=>71.42857142857143, ""14""=>85.71428571428571, ""15""=>71.42857142857143, ""16""=>85.71428571428571, ""21""=>71.42857142857143, ""22""=>85.71428571428571, ""23""=>71.42857142857143, ""24""=>85.71428571428571, ""29""=>71.42857142857143, ""30""=>85.71428571428571, ""31""=>71.42857142857143, ""32""=>42.857142857142854, ""37""=>42.857142857142854, ""38""=>57.142857142857146, ""39""=>57.142857142857146, ""40""=>57.142857142857146}"
79,"{""1""=>71.42857142857143, ""2""=>66.07142857142857, ""3""=>66.07142857142858, ""4""=>64.28571428571429, ""5""=>64.28571428571429}","{""5""=>57.142857142857146, ""6""=>71.42857142857143, ""7""=>57.142857142857146, ""8""=>71.42857142857143, ""13""=>85.71428571428571, ""14""=>57.142857142857146, ""15""=>42.857142857142854, ""16""=>71.42857142857143, ""21""=>57.142857142857146, ""22""=>57.142857142857146, ""23""=>71.42857142857143, ""24""=>57.142857142857146, ""29""=>57.142857142857146, ""30""=>71.42857142857143, ""31""=>57.142857142857146, ""32""=>71.42857142857143, ""37""=>57.142857142857146, ""38""=>57.142857142857146, ""39""=>71.42857142857143, ""40""=>85.71428571428571}"
14,"{""1""=>65.07120535714284, ""2""=>70.33906249999998, ""3""=>68.70625000000001, ""4""=>72.16071428571428, ""5""=>66.88392857142854}","{""5""=>42.85714285714286, ""6""=>57.142857142857146, ""7""=>67.85714285714286, ""8""=>71.42857142857143, ""13""=>75.0, ""14""=>71.42857142857142, ""15""=>60.714285714285715, ""16""=>57.142857142857146, ""21""=>60.714285714285715, ""22""=>60.714285714285715, ""23""=>71.42857142857143, ""24""=>67.85714285714286, ""29""=>64.28571428571429, ""30""=>71.42857142857143, ""31""=>75.0, ""32""=>71.42857142857143, ""37""=>67.85714285714286, ""38""=>60.71428571428572, ""39""=>67.85714285714286, ""40""=>71.42857142857143}"
118,"{""1""=>74.57537375415285, ""2""=>69.65690386002885, ""3""=>63.860599873317874, ""4""=>70.08928571428571, ""5""=>79.06031295093797}","{""5""=>71.42857142857143, ""6""=>67.85714285714286, ""7""=>64.28571428571429, ""8""=>85.71428571428572, ""13""=>75.0, ""14""=>64.28571428571429, ""15""=>78.57142857142857, ""16""=>67.85714285714286, ""21""=>67.85714285714286, ""22""=>67.85714285714286, ""23""=>67.85714285714286, ""24""=>57.142857142857146, ""29""=>67.85714285714286, ""30""=>60.714285714285715, ""31""=>75.0, ""32""=>78.57142857142857, ""37""=>71.42857142857143, ""38""=>75.0, ""39""=>78.57142857142858, ""40""=>85.71428571428572}"
112,"{""1""=>67.03296703296706, ""2""=>67.5824175824176, ""3""=>69.64285714285717, ""4""=>63.32417582417583, ""5""=>68.8186813186814}","{""5""=>65.93406593406594, ""6""=>64.83516483516483, ""7""=>60.43956043956044, ""8""=>57.14285714285714, ""13""=>63.73626373626374, ""14""=>62.63736263736263, ""15""=>73.62637362637362, ""16""=>59.34065934065934, ""21""=>67.03296703296704, ""22""=>68.13186813186813, ""23""=>70.32967032967032, ""24""=>72.52747252747253, ""29""=>60.43956043956044, ""30""=>49.45054945054945, ""31""=>64.83516483516485, ""32""=>62.637362637362635, ""37""=>61.53846153846154, ""38""=>62.63736263736264, ""39""=>70.32967032967034, ""40""=>65.93406593406593}"
20,"{""1""=>46.74107142857143, ""2""=>53.88392857142858, ""3""=>59.17857142857143, ""4""=>57.455357142857146, ""5""=>60.71428571428573}","{""5""=>42.857142857142854, ""6""=>57.142857142857146, ""7""=>42.857142857142854, ""8""=>57.142857142857146, ""13""=>42.857142857142854, ""14""=>57.142857142857146, ""15""=>42.857142857142854, ""16""=>57.142857142857146, ""21""=>42.857142857142854, ""22""=>57.142857142857146, ""23""=>42.857142857142854, ""24""=>57.142857142857146, ""29""=>57.142857142857146, ""30""=>42.857142857142854, ""31""=>57.142857142857146, ""32""=>42.857142857142854, ""37""=>57.142857142857146, ""38""=>57.142857142857146, ""39""=>57.142857142857146, ""40""=>57.142857142857146}"
113,"{""1""=>73.57724252491697, ""2""=>72.5, ""3""=>58.64028281150375, ""4""=>63.9627944729689, ""5""=>77.56303441390652}","{""5""=>68.57142857142857, ""6""=>62.85714285714286, ""7""=>71.42857142857143, ""8""=>91.42857142857142, ""13""=>57.142857142857146, ""14""=>65.71428571428571, ""15""=>80.0, ""16""=>68.57142857142857, ""21""=>60.00000000000001, ""22""=>74.28571428571429, ""23""=>54.285714285714285, ""24""=>60.0, ""29""=>51.42857142857143, ""30""=>42.85714285714286, ""31""=>65.71428571428572, ""32""=>57.142857142857146, ""37""=>82.85714285714286, ""38""=>57.142857142857146, ""39""=>88.57142857142856, ""40""=>80.0}"
119,"{""1""=>80.35714285714288, ""2""=>70.84259259259261, ""3""=>64.90904581529581, ""4""=>67.57846320346324, ""5""=>73.53084415584416}","{""5""=>80.95238095238093, ""6""=>80.95238095238096, ""7""=>76.19047619047618, ""8""=>90.47619047619048, ""13""=>71.42857142857143, ""14""=>66.66666666666667, ""15""=>76.19047619047619, ""16""=>69.04761904761905, ""21""=>76.19047619047618, ""22""=>73.8095238095238, ""23""=>64.28571428571429, ""24""=>57.14285714285714, ""29""=>71.42857142857143, ""30""=>33.33333333333333, ""31""=>78.57142857142856, ""32""=>66.66666666666667, ""37""=>73.80952380952381, ""38""=>76.19047619047619, ""39""=>73.80952380952381, ""40""=>71.42857142857143}"
95,"{""1""=>68.17077922077922, ""2""=>62.21839826839826, ""3""=>62.188095238095215, ""4""=>63.26607142857143, ""5""=>66.66666666666666}","{""5""=>71.42857142857143, ""6""=>71.42857142857143, ""7""=>66.66666666666666, ""8""=>71.42857142857143, ""13""=>52.38095238095238, ""14""=>66.66666666666667, ""15""=>57.142857142857146, ""16""=>52.38095238095238, ""21""=>61.904761904761905, ""22""=>52.38095238095238, ""23""=>61.904761904761905, ""24""=>61.90476190476191, ""29""=>57.14285714285714, ""30""=>57.142857142857146, ""31""=>52.38095238095238, ""32""=>61.904761904761905, ""37""=>57.14285714285714, ""38""=>66.66666666666667, ""39""=>57.14285714285714, ""40""=>66.66666666666667}"
115,"{""1""=>71.8031561461794, ""2""=>67.14867109634552, ""3""=>69.67721819524147, ""4""=>73.22009966777411, ""5""=>73.25975200510085}","{""5""=>65.71428571428571, ""6""=>65.71428571428572, ""7""=>74.28571428571428, ""8""=>88.57142857142857, ""13""=>71.42857142857143, ""14""=>65.71428571428572, ""15""=>68.57142857142857, ""16""=>60.0, ""21""=>65.71428571428572, ""22""=>62.85714285714286, ""23""=>71.42857142857143, ""24""=>71.42857142857143, ""29""=>68.57142857142857, ""30""=>68.57142857142858, ""31""=>77.14285714285714, ""32""=>71.42857142857143, ""37""=>74.28571428571429, ""38""=>62.857142857142854, ""39""=>77.14285714285714, ""40""=>80.0}"
116,"{""1""=>76.07142857142857, ""2""=>70.00555555555557, ""3""=>61.09945887445887, ""4""=>67.87987012987014, ""5""=>73.58860616128061}","{""5""=>82.85714285714286, ""6""=>74.28571428571428, ""7""=>68.57142857142857, ""8""=>77.14285714285715, ""13""=>80.0, ""14""=>62.85714285714286, ""15""=>74.28571428571429, ""16""=>60.0, ""21""=>62.85714285714286, ""22""=>68.57142857142857, ""23""=>65.71428571428572, ""24""=>51.42857142857143, ""29""=>60.0, ""30""=>68.57142857142857, ""31""=>74.28571428571429, ""32""=>60.0, ""37""=>77.14285714285714, ""38""=>71.42857142857143, ""39""=>74.28571428571429, ""40""=>77.14285714285714}"
9,"{""1""=>82.54285714285714, ""2""=>84.32857142857144, ""3""=>81.64999999999999, ""4""=>61.60714285714286, ""5""=>45.53571428571429}","{""5""=>92.85714285714286, ""6""=>85.71428571428572, ""7""=>92.85714285714286, ""8""=>85.71428571428572, ""13""=>92.85714285714286, ""14""=>85.71428571428572, ""15""=>85.71428571428571, ""16""=>71.42857142857143, ""21""=>71.42857142857143, ""22""=>78.57142857142857, ""23""=>78.57142857142857, ""24""=>64.28571428571429, ""29""=>64.28571428571429, ""30""=>71.42857142857143, ""31""=>64.28571428571429, ""32""=>42.85714285714286, ""37""=>42.85714285714286, ""38""=>50.0, ""39""=>50.0, ""40""=>35.714285714285715}"
80,"{""1""=>55.35714285714286, ""2""=>69.10714285714286, ""3""=>86.96428571428571, ""4""=>75.0, ""5""=>62.50000000000001}","{""5""=>28.571428571428573, ""6""=>57.142857142857146, ""7""=>71.42857142857143, ""8""=>85.71428571428571, ""13""=>71.42857142857143, ""14""=>57.142857142857146, ""15""=>57.142857142857146, ""16""=>71.42857142857143, ""21""=>85.71428571428571, ""22""=>100.0, ""23""=>85.71428571428571, ""24""=>71.42857142857143, ""29""=>57.142857142857146, ""30""=>57.142857142857146, ""31""=>71.42857142857143, ""32""=>85.71428571428571, ""37""=>71.42857142857143, ""38""=>71.42857142857143, ""39""=>71.42857142857143, ""40""=>71.42857142857143}"
122,"{""1""=>72.41071428571422, ""2""=>68.92857142857136, ""3""=>69.55357142857135, ""4""=>66.07142857142851, ""5""=>74.28571428571425}","{""5""=>74.28571428571426, ""6""=>69.99999999999999, ""7""=>77.14285714285715, ""8""=>75.0, ""13""=>61.428571428571416, ""14""=>59.999999999999986, ""15""=>70.0, ""16""=>74.28571428571428, ""21""=>70.0, ""22""=>75.7142857142857, ""23""=>69.99999999999999, ""24""=>72.85714285714286, ""29""=>67.85714285714285, ""30""=>57.14285714285714, ""31""=>67.85714285714286, ""32""=>65.71428571428571, ""37""=>82.14285714285715, ""38""=>77.85714285714285, ""39""=>74.28571428571428, ""40""=>72.85714285714285}"
124,"{""1""=>62.50000000000001, ""2""=>58.92857142857142, ""3""=>76.78571428571429, ""4""=>78.57142857142857, ""5""=>80.35714285714285}","{""5""=>71.42857142857143, ""6""=>57.142857142857146, ""7""=>85.71428571428571, ""8""=>57.142857142857146, ""13""=>28.571428571428573, ""14""=>28.571428571428573, ""15""=>28.571428571428573, ""16""=>85.71428571428571, ""21""=>71.42857142857143, ""22""=>100.0, ""23""=>71.42857142857143, ""24""=>71.42857142857143, ""29""=>85.71428571428571, ""30""=>71.42857142857143, ""31""=>85.71428571428571, ""32""=>85.71428571428571, ""37""=>85.71428571428571, ""38""=>85.71428571428571, ""39""=>85.71428571428571, ""40""=>85.71428571428571}"
